V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=2 µF; Opamp = TLV2401; E=0.00025934573514145625 J; upper_volt_diff=3.4967986840176755 V V; lower_voltage_diff=3.26698471598399 V V; pos_ripple=0.11490698402120803 V V
V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.00025363938037726826 J; upper_volt_diff=3.4967986840252303 V V; lower_voltage_diff=3.2669847161614047 V V; pos_ripple=0.11490698393190235 V V
V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.00027106957019716106 J; upper_volt_diff=3.69238035825044 V V; lower_voltage_diff=3.5358994116888964 V V; pos_ripple=0.0782404732807247 V V
V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.000278747138670856 J; upper_volt_diff=3.771194269634779 V V; lower_voltage_diff=3.6527096723248826 V V; pos_ripple=0.0592422986530694 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=2 µF; Opamp = TLV2401; E=0.00026539806199708983 J; upper_volt_diff=3.5635651957349816 V V; lower_voltage_diff=3.3217911263594813 V V; pos_ripple=0.12088703469168882 V V
V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.0002828261613854826 J; upper_volt_diff=3.809385290749124 V V; lower_voltage_diff=3.7141319372143817 V V; pos_ripple=0.04762667676736654 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=1 µF; Opamp = TLV2401; E=0.00026016018652454364 J; upper_volt_diff=3.563565195742247 V V; lower_voltage_diff=3.321791126536101 V V; pos_ripple=0.12088703460303885 V V
V_in=0.6 V; R_in=50 Ohm; Diode CDBZC0140L; C=1 µF; Opamp = TLV2401; E=0.0002852721444823874 J; upper_volt_diff=3.8301233450449814 V V; lower_voltage_diff=3.750525583226504 V V; pos_ripple=0.039798880888779475 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=1 µF; Opamp = TLV2401; E=0.0002801516610657765 J; upper_volt_diff=3.786286499985576 V V; lower_voltage_diff=3.621256344136048 V V; pos_ripple=0.0825150779247672 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=1 µF; Opamp = TLV2401; E=0.0001829048315804386 J; upper_volt_diff=2.675715618651001 V V; lower_voltage_diff=2.51658228277459 V V; pos_ripple=0.079566667938197 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=2 µF; Opamp = TLV2401; E=0.000190542235022456 J; upper_volt_diff=2.675715618646784 V V; lower_voltage_diff=2.5165822825051816 V V; pos_ripple=0.07956666807660273 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=1 µF; Opamp = TLV2401; E=0.00028918910107298546 J; upper_volt_diff=3.8796534756648975 V V; lower_voltage_diff=3.754491087029192 V V; pos_ripple=0.06258119430927267 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=1 µF; Opamp = TLV2401; E=0.0002940706655469779 J; upper_volt_diff=3.926443918069624 V V; lower_voltage_diff=3.825708797534336 V V; pos_ripple=0.050367560258878674 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=1 µF; Opamp = TLV2401; E=0.00019072885243327778 J; upper_volt_diff=2.7912195045053867 V V; lower_voltage_diff=2.683641749493228 V V; pos_ripple=0.05378887750603201 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS422; C=1 µF; Opamp = TLV2401; E=0.00029701773600808386 J; upper_volt_diff=3.9525935907533327 V V; lower_voltage_diff=3.868345227142039 V V; pos_ripple=0.042124181798887106 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=1 µF; Opamp = TLV2401; E=0.0001941371513468344 J; upper_volt_diff=2.8353682314812065 V V; lower_voltage_diff=2.754210347639002 V V; pos_ripple=0.040578941921112444 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=1 µF; Opamp = TLV2401; E=0.00019596561141186394 J; upper_volt_diff=2.855862349179614 V V; lower_voltage_diff=2.79073600411372 V V; pos_ripple=0.03256317253294427 V V
V_in=0.6 V; R_in=50 Ohm; Diode 1SS406; C=1 µF; Opamp = TLV2401; E=0.00019708784054901324 J; upper_volt_diff=2.8665916693336504 V V; lower_voltage_diff=2.812235670855113 V V; pos_ripple=0.027177999230749483 V V
V_in=0.6 V; R_in=50 Ohm; Diode NSRLL30XV2; C=2 µF; Opamp = TLV2401; E=0.00019156760279755847 J; upper_volt_diff=3.101118864970833 V V; lower_voltage_diff=2.9401102988150694 V V; pos_ripple=0.08050428308327362 V V
V_in=0.6 V; R_in=50 Ohm; Diode NSRLL30XV2; C=1 µF; Opamp = TLV2401; E=0.00018402542236229752 J; upper_volt_diff=3.1011188649738477 V V; lower_voltage_diff=2.9401102990636208 V V; pos_ripple=0.08050428295512568 V V
V_in=0.6 V; R_in=50 Ohm; Diode MBR30H30CTG; C=100 µF; Opamp = TLV2401; E=0.014401481676388581 J; upper_volt_diff=2.8167992862988998 V V; lower_voltage_diff=2.584447094089303 V V; pos_ripple=0.11617609718987243 V V
V_in=0.6 V; R_in=50 Ohm; Diode NSRLL30XV2; C=1 µF; Opamp = TLV2401; E=0.0001921302183579372 J; upper_volt_diff=3.22141920149751 V V; lower_voltage_diff=3.112525778995969 V V; pos_ripple=0.0544467112507403 V V
