V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
0.5 V,100 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9875751282062528
0.5 V,100 Ω,5 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9915431623251661
0.5 V,100 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9907835397119364
0.5 V,100 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9910366743996979
0.5 V,100 Ω,10 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9818387471300021
0.5 V,100 Ω,10 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9844839685547025
0.5 V,100 Ω,10 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9841106039736105
0.5 V,100 Ω,10 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.98408952410692
0.5 V,100 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9692066151707837
0.5 V,100 Ω,20 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9710620907772323
0.5 V,100 Ω,20 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9708463631693827
0.5 V,100 Ω,20 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9707885715403913
0.5 V,100 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9340036857867335
0.5 V,100 Ω,50 kΩ,25 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9339349512336729
0.5 V,100 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9333428610400317
0.5 V,100 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9331284939098454
0.5 V,200 Ω,5 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9869356873764356
0.5 V,200 Ω,5 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9900366952065326
0.5 V,200 Ω,5 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9896514280980833
0.5 V,200 Ω,5 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9897142135682732
