V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
0.5 V,100 Ω,1 kΩ,25 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV8802,0.995347766481798
0.5 V,100 Ω,1 kΩ,40 Hz,1000 μFµF,100 μFµF,1 μF,BAT54W-G,LMR1901YG-M,0.995527718690247
0.5 V,100 Ω,1 kΩ,55 Hz,1000 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9952511539383189
0.5 V,100 Ω,5 kΩ,10 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9913212525533635
0.5 V,100 Ω,5 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9917786784830979
0.5 V,100 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911869661609044
0.5 V,100 Ω,5 kΩ,55 Hz,1000 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911078744390885
0.5 V,100 Ω,10 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9844490748882095
0.5 V,100 Ω,10 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9849213598126577
0.5 V,100 Ω,10 kΩ,40 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.984231375188967
0.5 V,100 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9841660039128707
0.5 V,100 Ω,20 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9715313649533286
0.5 V,100 Ω,20 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9717130324087246
0.5 V,100 Ω,20 kΩ,40 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.971722006257094
0.5 V,100 Ω,20 kΩ,55 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.971585173408207
0.5 V,100 Ω,50 kΩ,10 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9340900160017513
0.5 V,100 Ω,50 kΩ,25 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9339349512336729
0.5 V,100 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9333428610400317
0.5 V,100 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9331284939098454
0.5 V,200 Ω,5 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9901228842211973
0.5 V,200 Ω,5 kΩ,25 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.990314039843133
0.5 V,200 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9902179861179047
0.5 V,200 Ω,5 kΩ,55 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9901513273679385
0.5 V,200 Ω,10 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9829966070853944
0.5 V,200 Ω,10 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9829045424172469
0.5 V,200 Ω,10 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9827808515592149
0.5 V,200 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9826967704870814
0.5 V,200 Ω,20 kΩ,10 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.969361367582905
0.5 V,200 Ω,20 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9692520747254916
0.5 V,200 Ω,20 kΩ,40 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9690795779396435
0.5 V,200 Ω,20 kΩ,55 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9689580726011985
0.5 V,200 Ω,50 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9318068456407071
0.5 V,200 Ω,50 kΩ,25 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9318167338000919
0.5 V,200 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9313437376217968
0.5 V,200 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9309764484432547
0.5 V,500 Ω,5 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9806370098570858
0.5 V,500 Ω,5 kΩ,25 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9800977463056211
0.5 V,500 Ω,5 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9800599276503237
0.5 V,500 Ω,5 kΩ,55 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9799652850689612
0.5 V,500 Ω,10 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9793258919973419
0.5 V,500 Ω,10 kΩ,25 Hz,47 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.979248001798605
0.5 V,500 Ω,10 kΩ,40 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9792931501260908
0.5 V,500 Ω,10 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9792111949474893
0.5 V,500 Ω,20 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.965316838628199
0.5 V,500 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9650140477054331
0.5 V,500 Ω,20 kΩ,40 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9650010653336573
0.5 V,500 Ω,20 kΩ,55 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9648259831711019
0.5 V,500 Ω,50 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9265331005974473
0.5 V,500 Ω,50 kΩ,25 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.925921894273007
0.5 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9258643943739464
0.5 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9257435646089501
0.5 V,1000 Ω,10 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV8802,0.961913099719381
0.5 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9609414448324057
0.5 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9608762630179535
0.5 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV8802,0.9607742013870044
0.5 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.959143832007041
0.5 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.959180964377399
0.5 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9592148033061421
0.5 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9591372277865219
0.5 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.919696509065788
0.5 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9190894414854045
0.5 V,1000 Ω,50 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9190543166414343
0.5 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9189521031377389
0.75 V,100 Ω,1 kΩ,25 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9975851919331156
0.75 V,100 Ω,1 kΩ,40 Hz,1000 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9975969875314386
